id_area_verde,nombre,categoria_fuente,subcategoria_fuente,tipo_analitico,usar_cobertura_verde,usar_oferta_recreativa,revision_manual,motivo_criterio,area_m2,area_ha
AV000097,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,3847.84,0.3848
AV000098,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,3554.3,0.3554
AV000099,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,2402.49,0.2402
AV000100,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,457.8,0.0458
AV000101,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1117.27,0.1117
AV000102,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,685.51,0.0686
AV000103,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,742.82,0.0743
AV000104,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,180.27,0.018
AV000105,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,207.94,0.0208
AV000106,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,682.87,0.0683
AV000107,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,6097.18,0.6097
AV000108,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1927.8,0.1928
AV000109,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,674.15,0.0674
AV000110,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,129.06,0.0129
AV000111,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,56.29,0.0056
AV000112,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,95.12,0.0095
AV000113,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,185.35,0.0185
AV000114,,"Parques, arboledas y alamedas",Arboledas,oferta_verde_recreativa,True,True,False,Espacio arbolado con potencial de uso recreativo,10620.75,1.0621
AV000115,,Forestación urbana,,cobertura_verde_no_recreativa,True,False,False,La categoría identifica cobertura de forestación urbana aunque no tenga subcategoría,4622.64,0.4623
AV000116,,Equipamientos urbanos con vegetación,Panteones,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a panteones; no se considera oferta verde recreativa,20654.22,2.0654
AV000117,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,264.38,0.0264
AV000118,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,880.55,0.0881
AV000119,,Áreas con categoría de protección,AVA,proteccion_ecologica,True,False,False,Área de Valor Ambiental; se considera cobertura de protección ecológica pero no se asume acceso recreativo,36136.68,3.6137
AV000120,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,577.38,0.0577
AV000121,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,880.04,0.088
AV000122,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,1099.22,0.1099
AV000123,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,988.47,0.0988
AV000124,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,2032.23,0.2032
AV000125,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,662.91,0.0663
AV000126,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,690.34,0.069
AV000127,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,357.39,0.0357
AV000128,CENTRO DEPORTIVO XOCHIMILCO,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,198552.49,19.8552
AV000129,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,16746.44,1.6746
AV000130,,Forestación urbana,,cobertura_verde_no_recreativa,True,False,False,La categoría identifica cobertura de forestación urbana aunque no tenga subcategoría,868.92,0.0869
AV000131,JARDIN,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,778.09,0.0778
AV000132,ESC. PRIM. VICENTE RIVA PALACIOS,Áreas verdes urbanas fragmentadas,Bordos,cobertura_verde_fragmentada,True,False,False,Superficie vegetada fragmentada sin función recreativa asumida,1761.82,0.1762
AV000133,,Áreas verdes urbanas fragmentadas,Bordos,cobertura_verde_fragmentada,True,False,False,Superficie vegetada fragmentada sin función recreativa asumida,270692.89,27.0693
AV000134,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,78.3,0.0078
AV000135,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1085.37,0.1085
AV000136,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,316.36,0.0316
AV000137,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,178.88,0.0179
AV000138,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,80.32,0.008
AV000139,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,92.43,0.0092
AV000140,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,315.16,0.0315
AV000141,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,676.78,0.0677
AV000142,,Equipamientos urbanos con vegetación,Unidades habitacionales,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a vivienda; el acceso puede estar restringido a residentes,3859.13,0.3859
AV000143,,Áreas verdes complementarias o ligadas a la red vial,Vialidades,cobertura_verde_vial,True,False,False,Vegetación asociada a infraestructura vial,1143.75,0.1144
AV000144,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,558.87,0.0559
AV000145,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,504.2,0.0504
AV000146,SUELO DE CONSERVACION,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,29432.06,2.9432
AV000147,SUELO DE CONSERVACION,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,11125.93,1.1126
AV000148,SUELO DE CONSERVACION,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,10855.0,1.0855
AV000149,SUELO DE CONSERVACION,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,72114.54,7.2115
AV000150,SUELO DE CONSERVACION,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,27838.96,2.7839
